year,avg_viewers,episodes
1990,27.8,13,
1991,24.4,22
1992,21.8,24
1993,22.4,22
1994,18.9,22
1995,15.6,25
1996,15.1,25
1997,14.5,25
1998,16.3,25
1999,15.9,23
2000,15.1,22
2001,15.5,21
2002,12.5,22
2003,14.4,22
2004,11,22
2005,10.2,21
2006,9.6,22
2007,9.2,22
2008,8.4,20
2009,7.1,21
2010,7.1,23
2011,7.1,22
2012,6.2,22
2013,5.4,22
2014,5,22
